LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
JIMAH LOCAL COUNCIL,BUKIT PELANDOK WARD,TOTAL BALLOTS ISSUED,,,,,,
JIMAH LOCAL COUNCIL,BUKIT PELANDOK WARD,TOTAL ELECTORATE,,,,,,
JIMAH LOCAL COUNCIL,BUKIT PELANDOK WARD,TURNOUT (%),,,,,,
JIMAH LOCAL COUNCIL,SUNGEI NIPAH WARD,PPP,SAM KUM CHOW,,,38,LOST,
JIMAH LOCAL COUNCIL,SUNGEI NIPAH WARD,ALLIANCE - MCA,LIM CHU HWAI,,,79,LOST,
JIMAH LOCAL COUNCIL,SUNGEI NIPAH WARD,ALLIANCE - MCA,YEE SIOW KONG,,,116,WON,
JIMAH LOCAL COUNCIL,SUNGEI NIPAH WARD,ALLIANCE - UMNO,HJ. HASSAN BIN HJ. LUDIN,MALE,,58,LOST,
JIMAH LOCAL COUNCIL,SUNGEI NIPAH WARD,PPP,LOO TIAN CHOI,,,64,LOST,
JIMAH LOCAL COUNCIL,SUNGEI NIPAH WARD,PPP,TAN EU HONG,,,105,WON,
JIMAH LOCAL COUNCIL,SUNGEI NIPAH WARD,INDEPENDENT,SI POI HWA,,,94,WON,
JIMAH LOCAL COUNCIL,SUNGEI NIPAH WARD,REJECTED BALLOT PAPERS,,,,2,,
JIMAH LOCAL COUNCIL,SUNGEI NIPAH WARD,TOTAL BALLOTS ISSUED,,,,,,
JIMAH LOCAL COUNCIL,SUNGEI NIPAH WARD,TOTAL ELECTORATE,,,,248,,
JIMAH LOCAL COUNCIL,SUNGEI NIPAH WARD,TURNOUT (%),,,,74.46,,
TANJONG IPOH LOCAL COUNCIL,TANJONG IPOH UTARA WARD,INDEPENDENT,JAALAM BIN OTHMAN,MALE,,78,LOST,
